"","P_daily_4","P_daily_6","P_daily_8","dates"
"138",52732.0483333333,49910.2093333333,44288.8486666667,2021-04-25
"139",53245.0146666667,49900.9733333333,44123.2283333333,2021-04-26
"140",53816.7846666667,49895.0413333333,43922.96,2021-04-27
"141",54423.9773333333,49889.7123333333,43735.6886666667,2021-04-28
"142",55072.5903333333,49888.8476666667,43530.867,2021-04-29
"143",55749.216,49893.6333333333,43321.8853333333,2021-04-30
"144",56449.8656666667,49916.4656666667,43117.281,2021-05-01
"145",57178.4366666667,49946.166,42901.6626666667,2021-05-02
"146",57927.4323333333,50001.9353333333,42698.5533333333,2021-05-03
"147",58718.3676666667,50083.8676666667,42480.7543333333,2021-05-04
"148",59538.4456666667,50185.7513333333,42272.481,2021-05-05
"149",60366.1133333333,50316.6916666667,42073.8313333333,2021-05-06
"150",61229.334,50457.428,41878.8923333333,2021-05-07
"151",62106.2976666667,50628.4613333333,41679.8523333333,2021-05-08
"152",62999.907,50820.982,41495.0586666667,2021-05-09
"153",63918.4423333333,51053.06,41313.7086666667,2021-05-10
"154",64855.133,51313.844,41150.623,2021-05-11
"155",65813.613,51610.434,40991.8506666667,2021-05-12
"156",66789.0226666667,51921.6496666667,40830.1886666667,2021-05-13
"157",67777.019,52247.238,40690.9206666667,2021-05-14
"158",68796.2973333333,52596.2406666667,40563.8803333333,2021-05-15
"159",69820.147,52974.3233333333,40446.1796666667,2021-05-16
"160",70859.4253333333,53374.4496666667,40346.7273333333,2021-05-17
"161",71914.222,53810.6766666667,40255.834,2021-05-18
"162",72993.6056666667,54235.7216666667,40185.2616666667,2021-05-19
"163",74085.5483333333,54694.633,40121.4196666667,2021-05-20
"164",75195.6973333333,55157.8066666667,40066.1706666667,2021-05-21
"165",76326.337,55649.0373333333,40023.834,2021-05-22
"166",77463.7263333333,56152.3273333333,40006.6906666667,2021-05-23
"167",78626.5223333333,56672.18,40001.3626666667,2021-05-24
"168",79815.3743333333,57209.582,40009.1686666667,2021-05-25
"169",81002.9593333333,57736.412,40035.112,2021-05-26
"170",82215.243,58300.7413333333,40074.892,2021-05-27
"171",83447.3036666667,58878.5853333333,40114.9003333333,2021-05-28
"172",84699.3786666667,59441.4726666667,40168.8536666667,2021-05-29
"173",85963.4906666667,60025.859,40239.2693333333,2021-05-30
"174",87239.1916666667,60629.018,40311.7016666667,2021-05-31
"175",88524.1863333333,61243.23,40408.1133333333,2021-06-01
"176",89814.2406666667,61862.419,40517.762,2021-06-02
"177",91124.1316666667,62485.6353333333,40629.0533333333,2021-06-03
"178",92445.065,63126.4156666667,40745.5376666667,2021-06-04
"179",93791.456,63780.8766666667,40871.729,2021-06-05
"180",95132.312,64439.496,41001.3233333333,2021-06-06
"181",96487.6706666667,65125.2916666667,41146.936,2021-06-07
"182",97834.469,65800.9823333333,41297.4816666667,2021-06-08
"183",99198.7753333333,66505.548,41455.1733333333,2021-06-09
"184",100569.392666667,67211.3923333333,41621.0783333333,2021-06-10
"185",101909.454333333,67927.9326666667,41782.2746666667,2021-06-11
"186",103227.903666667,68642.6916666667,41959.55,2021-06-12
"187",104534.920333333,69384.0906666667,42126.119,2021-06-13
"188",105805.562333333,70129.0823333333,42304.6273333333,2021-06-14
"189",107070.81,70882.84,42485.494,2021-06-15
"190",108329.369333333,71646.926,42671.23,2021-06-16
"191",109562.676,72417.5663333333,42859.991,2021-06-17
"192",110785.129,73202.3263333333,43046.0076666667,2021-06-18
"193",111988.968,73991.5473333333,43243.2053333333,2021-06-19
"194",113187.560333333,74783.297,43441.3203333333,2021-06-20
"195",114366.367666667,75587.2836666667,43639.8416666667,2021-06-21
"196",115523.979666667,76391.4183333333,43838.0156666667,2021-06-22
"197",116660.844666667,77226.7156666667,44046.4816666667,2021-06-23
"198",117771.468,78029.6116666667,44247.9896666667,2021-06-24
"199",118881.025333333,78843.2153333333,44461.684,2021-06-25
"200",119972.768333333,79615.48,44665.6076666667,2021-06-26
"201",121028.818666667,80406.3626666667,44877.1476666667,2021-06-27
"202",122061.709333333,81172.092,45087.3126666667,2021-06-28
"203",123074.327,81926.3146666667,45299.002,2021-06-29
"204",124066.565333333,82682.4466666667,45512.3396666667,2021-06-30
"205",125018.449333333,83431.307,45725.3536666667,2021-07-01
"206",125958.575333333,84190.203,45935.0806666667,2021-07-02
"207",126863.255666667,84923.905,46150.0733333333,2021-07-03
"208",127744.87,85666.087,46362.928,2021-07-04
"209",128582.448,86387.8996666667,46581.133,2021-07-05
"210",129408.933666667,87117.9393333333,46791.739,2021-07-06
"211",130194.118333333,87839.0393333333,46994.4083333333,2021-07-07
"212",130946.388333333,88560.5566666667,47200.7156666667,2021-07-08
"213",131661.563,89273.3696666667,47396.5603333333,2021-07-09
"214",132352.502666667,89986.2063333333,47572.6326666667,2021-07-10
"215",133015.292,90671.489,47752.94,2021-07-11
"216",133620.792666667,91363.4593333333,47906.965,2021-07-12
"217",134210.074,92064.1783333333,48066.1193333333,2021-07-13
"218",134736.159666667,92731.7323333333,48211.683,2021-07-14
"219",135257.959666667,93404.701,48358.5856666667,2021-07-15
"220",135727.052333333,94076.1223333333,48492.588,2021-07-16
"221",136136.775666667,94737,48623.532,2021-07-17
"222",136561.921333333,95375.3693333333,48737.4933333333,2021-07-18
"223",136921.826666667,96015.4646666667,48856.825,2021-07-19
"224",137209.096,96652.1056666667,48972.7296666667,2021-07-20
"225",137495.018,97282.2026666667,49081.461,2021-07-21
"226",137726.091,97892.601,49170.0626666667,2021-07-22
"227",137929.567666667,98493.2156666667,49276.871,2021-07-23
"228",138074.973666667,99089.2143333333,49362.33,2021-07-24
"229",138185.738333333,99673.063,49451.5663333333,2021-07-25
"230",138252.729666667,100240.604,49530.4396666667,2021-07-26
"231",138286.972333333,100799.515666667,49603.3203333333,2021-07-27
"232",138275.694333333,101351.873,49671.136,2021-07-28
"233",138233.414333333,101887.335,49724.0483333333,2021-07-29
"234",138126.836333333,102424.976,49788.975,2021-07-30
"235",138008.565,102929.885333333,49834.554,2021-07-31
"236",137821.22,103442.471666667,49881.2033333333,2021-08-01
"237",137615.29,103931.736333333,49927.461,2021-08-02
"238",137342.537,104410.845,49957.277,2021-08-03
"239",137063.318333333,104873.183333333,49978.471,2021-08-04
"240",136745.309666667,105340.024,49995.9026666667,2021-08-05
"241",136366.666666667,105768.949,50022.0546666667,2021-08-06
"242",135960.042666667,106189.351666667,50027.2796666667,2021-08-07
"243",135519.735,106599.33,50027.8996666667,2021-08-08
"244",135025.391,107005.663666667,50034.014,2021-08-09
"245",134505.103,107388.641,50025.0966666667,2021-08-10
"246",133957.149,107745.225,50007.8766666667,2021-08-11
"247",133366.182666667,108098.199,49988.672,2021-08-12
"248",132742.697,108432.648,49967.015,2021-08-13
"249",132088.633333333,108759.609666667,49938.763,2021-08-14
"250",131374.032666667,109070.776,49900.1453333333,2021-08-15
